c c c c c c p c c c c c c c c c
c c c c p p p c c c c c c c c c
c c c c p c c p p p p c c c c c
c c c c p p p p c c p c c c c c
c c c c c c c c c c p c c c c c
c c c c c c c c c c p c c c c c
c A c p p p c c T p p c c c c c
c c c p c p c c c p c c c c c c
c p p p c p c p p p c c c c c c
c p c c c p p p c c c c c c c c
c p c c c c c c c c c c c c c c
c p c c c c c c c c c c c c c c
c p p p p p p p p p p p p p p c
c c c c c c c c c c c c c c p c
c c c c c c c c p p p p p p p c
c c c c c c c c t c c c c c c c
